Name,ReferenceDate,DailyReturn
S&P 500 Total Return Index,7/5/91,0.2176
S&P 500 Total Return Index,7/8/91,1.0339
S&P 500 Total Return Index,7/9/91,-0.4743
S&P 500 Total Return Index,7/10/91,-0.0986
S&P 500 Total Return Index,7/11/91,0.3266
S&P 500 Total Return Index,7/12/91,0.8713
S&P 500 Total Return Index,7/15/91,0.5805
S&P 500 Total Return Index,7/16/91,-0.2193
S&P 500 Total Return Index,7/17/91,-0.0902
S&P 500 Total Return Index,7/18/91,1.1
S&P 500 Total Return Index,7/19/91,-0.2978
S&P 500 Total Return Index,7/22/91,-0.34
S&P 500 Total Return Index,7/23/91,-0.9036
S&P 500 Total Return Index,7/24/91,-0.2024
S&P 500 Total Return Index,7/25/91,0.6177
S&P 500 Total Return Index,7/26/91,-0.0023
S&P 500 Total Return Index,7/29/91,0.6
S&P 500 Total Return Index,7/30/91,0.9511
S&P 500 Total Return Index,7/31/91,0.292
S&P 500 Total Return Index,8/1/91,-0.1729
S&P 500 Total Return Index,8/2/91,0.0296
S&P 500 Total Return Index,8/5/91,-0.5079
S&P 500 Total Return Index,8/6/91,1.4927
S&P 500 Total Return Index,8/7/91,0.0248
S&P 500 Total Return Index,8/8/91,-0.3022
S&P 500 Total Return Index,8/9/91,-0.5338
S&P 500 Total Return Index,8/12/91,0.2615
S&P 500 Total Return Index,8/13/91,0.4174
S&P 500 Total Return Index,8/14/91,0.0858
S&P 500 Total Return Index,8/15/91,-0.1399
S&P 500 Total Return Index,8/16/91,-0.947
S&P 500 Total Return Index,8/19/91,-2.3433
S&P 500 Total Return Index,8/20/91,0.7874
S&P 500 Total Return Index,8/21/91,2.944
S&P 500 Total Return Index,8/22/91,0.1937
S&P 500 Total Return Index,8/23/91,0.7259
S&P 500 Total Return Index,8/26/91,-0.0469
S&P 500 Total Return Index,8/27/91,-0.1786
S&P 500 Total Return Index,8/28/91,0.9258
S&P 500 Total Return Index,8/29/91,-0.0399
S&P 500 Total Return Index,8/30/91,-0.235
S&P 500 Total Return Index,9/3/91,-0.8154
S&P 500 Total Return Index,9/4/91,-0.5488
S&P 500 Total Return Index,9/5/91,-0.2117
S&P 500 Total Return Index,9/6/91,-0.0068
S&P 500 Total Return Index,9/9/91,-0.0993
S&P 500 Total Return Index,9/10/91,-0.9988
S&P 500 Total Return Index,9/11/91,0.1392
S&P 500 Total Return Index,9/12/91,0.5858
S&P 500 Total Return Index,9/13/91,-0.9654
S&P 500 Total Return Index,9/16/91,0.6132
S&P 500 Total Return Index,9/17/91,-0.0637
S&P 500 Total Return Index,9/18/91,0.3732
S&P 500 Total Return Index,9/19/91,0.161
S&P 500 Total Return Index,9/20/91,0.1109
S&P 500 Total Return Index,9/23/91,-0.5133
S&P 500 Total Return Index,9/24/91,0.5023
S&P 500 Total Return Index,9/25/91,-0.208
S&P 500 Total Return Index,9/26/91,-0.0997
S&P 500 Total Return Index,9/27/91,-0.152
S&P 500 Total Return Index,9/30/91,0.5339
S&P 500 Total Return Index,10/1/91,0.3503
S&P 500 Total Return Index,10/2/91,-0.2432
S&P 500 Total Return Index,10/3/91,-0.9729
S&P 500 Total Return Index,10/4/91,-0.791
S&P 500 Total Return Index,10/7/91,-0.448
S&P 500 Total Return Index,10/8/91,0.3139
S&P 500 Total Return Index,10/9/91,-1.0147
S&P 500 Total Return Index,10/10/91,0.9948
S&P 500 Total Return Index,10/11/91,0.2532
S&P 500 Total Return Index,10/14/91,1.3154
S&P 500 Total Return Index,10/15/91,1.1805
S&P 500 Total Return Index,10/16/91,0.4591
S&P 500 Total Return Index,10/17/91,-0.2207
S&P 500 Total Return Index,10/18/91,0.1475
S&P 500 Total Return Index,10/21/91,-0.6269
S&P 500 Total Return Index,10/22/91,-0.5612
S&P 500 Total Return Index,10/23/91,0.0293
S&P 500 Total Return Index,10/24/91,-0.7403
S&P 500 Total Return Index,10/25/91,-0.2206
S&P 500 Total Return Index,10/28/91,1.4083
S&P 500 Total Return Index,10/29/91,0.5281
S&P 500 Total Return Index,10/30/91,0.3778
S&P 500 Total Return Index,10/31/91,-0.1269
S&P 500 Total Return Index,11/1/91,-0.2854
S&P 500 Total Return Index,11/4/91,-0.1834
S&P 500 Total Return Index,11/5/91,-0.3517
S&P 500 Total Return Index,11/6/91,0.3507
S&P 500 Total Return Index,11/7/91,0.9768
S&P 500 Total Return Index,11/8/91,-0.162
S&P 500 Total Return Index,11/11/91,0.0578
S&P 500 Total Return Index,11/12/91,0.9284
S&P 500 Total Return Index,11/13/91,0.1782
S&P 500 Total Return Index,11/14/91,-0.0549
S&P 500 Total Return Index,11/15/91,-3.6571
S&P 500 Total Return Index,11/18/91,0.7186
S&P 500 Total Return Index,11/19/91,-1.5085
S&P 500 Total Return Index,11/20/91,-0.2277
S&P 500 Total Return Index,11/21/91,0.4057
S&P 500 Total Return Index,11/22/91,-1.0032
S&P 500 Total Return Index,11/25/91,-0.1855
S&P 500 Total Return Index,11/26/91,0.6969
S&P 500 Total Return Index,11/27/91,-0.3576
S&P 500 Total Return Index,11/29/91,-0.345
S&P 500 Total Return Index,12/2/91,1.6868
S&P 500 Total Return Index,12/3/91,-0.0914
S&P 500 Total Return Index,12/4/91,-0.2264
S&P 500 Total Return Index,12/5/91,-0.7014
S&P 500 Total Return Index,12/6/91,0.4547
S&P 500 Total Return Index,12/9/91,-0.2045
S&P 500 Total Return Index,12/10/91,-0.0622
S&P 500 Total Return Index,12/11/91,-0.0507
S&P 500 Total Return Index,12/12/91,1.0212
S&P 500 Total Return Index,12/13/91,0.7667
S&P 500 Total Return Index,12/16/91,0.0023
S&P 500 Total Return Index,12/17/91,-0.4348
S&P 500 Total Return Index,12/18/91,0.1933
S&P 500 Total Return Index,12/19/91,-0.2497
S&P 500 Total Return Index,12/20/91,1.1856
S&P 500 Total Return Index,12/23/91,2.5278
S&P 500 Total Return Index,12/24/91,0.6953
S&P 500 Total Return Index,12/26/91,1.3854
S&P 500 Total Return Index,12/27/91,0.4254
S&P 500 Total Return Index,12/30/91,2.1374
S&P 500 Total Return Index,12/31/91,0.4692
S&P 500 Total Return Index,1/2/92,0.0438
S&P 500 Total Return Index,1/3/92,0.5002
S&P 500 Total Return Index,1/6/92,-0.2882
S&P 500 Total Return Index,1/7/92,-0.1289
S&P 500 Total Return Index,1/8/92,0.1666
S&P 500 Total Return Index,1/9/92,-0.1102
S&P 500 Total Return Index,1/10/92,-0.6015
S&P 500 Total Return Index,1/13/92,-0.1801
S&P 500 Total Return Index,1/14/92,1.4746
S&P 500 Total Return Index,1/15/92,0.0868
S&P 500 Total Return Index,1/16/92,-0.6051
S&P 500 Total Return Index,1/17/92,0.1621
S&P 500 Total Return Index,1/20/92,-0.5974
S&P 500 Total Return Index,1/21/92,-0.8911
